member_id,email_address,country
1101,h_abbott@h-school.edu,Canada
1101,h_abbott@h-school.edu,Canada
1001,george.m@studio.com,USA
1001,george.m@studio.com,USA
1002,david.chen@example.com,USA
1003,elena.rodriguez@example.com,USA
1004,marcus.thorne@example.com,USA
1005,sarah.jenkins@example.com,USA
1007,victor.vance@example.com,USA
1008,priya.sharma@example.com,USA
1010,oliver.twist@example.com,USA
1201,n.isaac@gravity.edu,USA
1201,n.isaac@gravity.edu,USA
5001,alice.johnson@example.com,USA
5001,alice.johnson@example.com,USA
5002,bsmith_88@provider.net,USA
5002,bsmith_88@provider.net,USA
6001,charlie.davis@corp.com,USA
6001,charlie.davis@corp.com,USA
7001,d.prince@hero.org,USA
7001,d.prince@hero.org,USA
8001,ethan.hunt@mission.com,USA
8001,ethan.hunt@mission.com,USA
9001,fiona.g@ukmail.com,USA
9001,fiona.g@ukmail.com,USA
9991,inaya.khan@global.com,USA
9991,inaya.khan@global.com,USA
